routeId,cost
9011001059500000,-9172.800000
9011008001700000,-15633.333333
9011001066400000,-1310.400000
9011001044900000,-21092.400000
9011001050400000,-99530.648611
9011001086500000,-98744.540278
9011001006500000,-64821.905556
9011001017900000,-290455.200000
9011001005000000,-126385.555556
9011001013400000,-120197.823611
9011001031800000,-12341.700000
9011001017800000,-190542.508333
9011001079700000,-401.520000
9011001043300000,-41182.890000
9011001018300000,0.000000
9011001000300000,-229868.950000
9011001071900000,-15296.400000
9011001022200000,-5871.600000
9011001056700000,-62764.183333
9011001083600000,-11062.800000
9011001006600000,0.000000
9011001011600000,-79116.436111
9011001030200000,-33034.473611
9011001018500000-185V,-12178.580556
9011001083700000,-64949.220000
9011001053700000,-28127.163333
9011001034000000,-32230.800000
9011001060600000,-32886.000000
9011001071400000,-44638.083333
9011001023800000,-47942.050000
9011001060100000,-91469.505556
9011001076100000,-478.380000
9011001019200000,-9802.800000
9011001072300000,-33138.000000
9011001082100000,-39490.533333
9011001049100000,-10836.000000
9011001031100000,-33818.423889
9011001063500000,-3679.200000
9011001052800000,-40402.838889
9011001002100000,-189757.943056
9011001042400000,-4158.000000
9011001009400000,-17614.800000
9011001016300000,-164786.395833
9011001055200000-552V,-31389.562500
9011001061000000,-106728.720000
9011001015700000,-42497.370833
9011001070900000,-5425.560000
9011001011200000,-28339.612500
9011001087300000,-110156.101389
9011001050900000,-122991.516667
9011001041100000,-7560.000000
9011001055700000,-15565.200000
9011001092600000,-113677.200000
9011001031100000-311E,-875.700000
9011001052600000,-62851.220833
9011001068700000,-44532.600000
9011001044400000,-80106.787500
9011001079100000,-16405.200000
9011001045800000,-9979.200000
9011001022500000,-5342.400000
9011001052400000,-36907.080000
9011001001100000,-203963.787500
9011001015900000,-4501.437500
9011001083000000,-115060.483333
9011001017200000,-325054.800000
9011001012400000,-25326.883333
9011001068500000,-54003.600000
9011001069000000,-12214.020000
9011001063900000,-43169.280000
9011001047100000,-227911.800000
9011001071000000,-84117.551389
9011001042300000,-32482.800000
9011001019300000,-9626.400000
9011001000100000,-326360.840278
9011001005400000,-36387.900000
9011008001300000,-39396.000000
9011001002900000,-89613.275000
9011001042400000-424V,-6426.000000
9011001040100000,-138650.747222
9011001051400000,-109564.291667
9011001075300000,-4102.560000
9011001082300000,-19377.059722
9011001080900000-809C,-23713.200000
9011001049200000,-6720.840000
9011001055800000-558X,-1234.800000
9011001069700000,-13910.400000
9011001081300000,-30315.600000
9011001083500000,-65601.900000
9011001008000000,0.000000
9011001062700000,-67687.200000
9011001011400000,-29031.177778
9011001042900000-429X,-23267.160000
9011001053600000,-54456.780000
9011001074700000,-13349.815278
9011001041300000,-38481.466667
9011001008900000,0.000000
9011001015500000,-21563.673611
9011001067000000-670X,-12121.200000
9011001008200000,-134821.866667
9011001000400000,-438702.463889
9011001016500000,-80455.762500
9011001071700000,-19504.800000
9011001062300000-623V,-21067.200000
9011001062200000-622X,-6703.200000
9011001039600000,0.000000
9011001030300000,-26132.400000
9011001060400000,-73738.408333
9011001041800000,-11113.200000
9011001019500000,-10407.600000
9011001069500000,-10357.200000
9011001075000000,-1478.400000
9011001053400000,-31778.880000
9011001030500000,-35428.827778
9011001092100000,-10844.500000
9011001051600000,-16655.205556
9011001011900000,-77025.901389
