routeId,cost
9011001054400000,-53385.291667
9011001061900000,-19534.250000
9011001068000000,-31350.550000
9011001096600000,-11583.395833
9011001033300000,-10507.437500
9011001007200000,-67306.152083
9011001012200000,-12978.393750
9011001042100000,-21115.952840
9011001080500000,-31869.231290
9011001016000000,-89140.360417
9011001014700000,-54679.291667
9011001021200000,-27196.720833
9011001042600000,-7232.400000
9011001080900000,-73710.000000
9011001019000000,-9340.325000
9011001059000000,-5846.400000
9011001040900000,-43581.915653
9011001044300000,-76884.922917
9011001004300000,-665336.981250
9011001051100000,-11639.833333
9011001017300000,-118139.262500
9011001061200000,-40623.837500
9011001002600000,-32838.400000
9011001074200000,13743.824584
9011001082600000,-1620.780000
9011001043500000-435C,-21420.154583
9011001071300000,-111930.783333
9011001016100000,-128924.304167
9011001001400000,-201826.477853
9011001052700000,-62521.200000
9011001015600000,-12707.293750
9011005091400000,-2055.937500
9011001012700000,-19006.012500
9011001041400000,-97522.720833
9011001062800000,-60090.245833
9011001054000000,-134485.175000
9011001070800000,-83547.354090
9011001031300000,-6577.200000
9011001054600000-546V,-7027.533333
9011001005500000,-68437.335417
9011001052300000,-45659.335417
9011008001900000,0.000000
9011001073700000,-23285.220833
9011001017700000,-145027.227938
9011001009300000,-4813.200000
9011001082200000,-13042.983333
9011001043800000,-5234.880000
9011001096100000,-9693.731250
9011001092300000,-10097.654167
9011001096800000,-10584.000000
9011001079200000,0.000000
9011001007600000,-84247.964583
9011001095200000,-14307.225000
9011001062400000,-35683.200000
9011005097200000,-2646.000000
9011001032500000,-1663.200000
9011001029100000,-10846.181250
9011001046700000,-18542.875000
9011001006700000,-78004.370833
9011001069100000,-14226.843750
9011001083800000,-66703.560000
9011001072100000-721X,-22906.800000
9011001001000000,346120.367500
9011001072500000,-84369.600000
9011001015200000,-21531.139583
9011001055200000,-21258.820833
9011008000700000,0.000000
9011001041000000,-39322.414583
9011001081000000,-34919.640000
9011001001800000,-116822.027500
9011001020400000,-29503.189583
9011001062000000,-2023.560000
9011001098100000,-2302.020000
9011001081700000,-5026.035417
9011001050300000,-20701.850000
9011001054800000,-36187.200000
9011001079600000,-2520.000000
9011001013500000,-35180.454167
9011001049600000,-6377.743750
9011001081800000,-51394.218750
9011001020300000,-16860.645833
9011001074900000,-5392.800000
9011001018100000,-101465.445833
9011001070400000,-30968.011614
9011001092000000,-8031.479167
9011001079500000,-11464.737500
9011001035000000,23607.748502
9011001043400000,-38690.488333
9011001051800000,-54628.479717
9011001051900000,-71593.654167
9011001031600000,-16480.085417
9011001001700000,-300609.555463
