n,e,pop
6830000,604000,19
6831000,604000,19
6836000,604000,20
6837000,604000,23
6838000,604000,16
6840000,604000,7
6841000,604000,0
6842000,604000,26
6843000,604000,123
6844000,604000,566
6845000,604000,91
6846000,604000,16
6847000,604000,18
6848000,604000,8
6849000,604000,39
6850000,604000,65
6851000,604000,16
6860000,604000,0
6866000,604000,3
6867000,604000,22
6868000,604000,7
6869000,604000,6
6873000,604000,4
6874000,604000,4
6875000,604000,4
6876000,604000,7
6883000,604000,7
6888000,604000,6
6906000,604000,0
6907000,604000,8
6908000,604000,17
6909000,604000,14
6910000,604000,4
6911000,604000,3
6912000,604000,22
6913000,604000,159
6914000,604000,995
6915000,604000,145
6916000,604000,90
6921000,604000,9
6922000,604000,3
6931000,604000,14
6932000,604000,0
6933000,604000,24
6939000,604000,3
6942000,604000,34
6943000,604000,0
6953000,604000,5
6954000,604000,4
6955000,604000,0
6956000,604000,4
6957000,604000,0
6988000,604000,0
7006000,604000,266
7007000,604000,354
7008000,604000,8
7023000,604000,33
7046000,604000,3
7055000,604000,3
7076000,604000,0
7077000,604000,3
7120000,604000,0
7123000,604000,0
7184000,604000,3
7286000,604000,3
7329000,604000,4
7334000,604000,0
6288000,605000,39
6289000,605000,23
6290000,605000,27
6291000,605000,26
6292000,605000,4
6297000,605000,5
6298000,605000,71
6299000,605000,6
6300000,605000,0
6301000,605000,7
6302000,605000,60
6303000,605000,58
6304000,605000,91
6305000,605000,173
6306000,605000,19
6307000,605000,33
6308000,605000,7
6309000,605000,25
6311000,605000,0
6397000,605000,7
6408000,605000,7
6417000,605000,4
6418000,605000,3
6419000,605000,7
6421000,605000,3
6426000,605000,0
6427000,605000,6
6428000,605000,0
6431000,605000,0
6441000,605000,3
6442000,605000,0
6444000,605000,3
6445000,605000,0
6447000,605000,4
6448000,605000,3
6449000,605000,5
6450000,605000,37
6451000,605000,28
6452000,605000,0
6453000,605000,4
6454000,605000,4
6463000,605000,8
6464000,605000,0
6468000,605000,0
6469000,605000,12
6470000,605000,19
6472000,605000,7
6473000,605000,0
6474000,605000,0
6479000,605000,10
6480000,605000,8
6481000,605000,7
6483000,605000,0
6485000,605000,11
6486000,605000,25
6487000,605000,4
6488000,605000,4
6489000,605000,6
6490000,605000,8
6491000,605000,0
6499000,605000,38
6500000,605000,55
6501000,605000,8
6502000,605000,4
6503000,605000,5
6504000,605000,6
6506000,605000,0
6507000,605000,3
6508000,605000,6
6509000,605000,5
6510000,605000,0
6511000,605000,3
6512000,605000,12
6513000,605000,6
6516000,605000,4
6517000,605000,6
6518000,605000,8
6519000,605000,0
6520000,605000,0
6521000,605000,4
6522000,605000,7
6523000,605000,4
6524000,605000,4
6525000,605000,5
6526000,605000,0
