lat,lon,population
64.212103,17.153390,0
64.759123,17.196870,3
65.673689,17.274107,3
66.059194,17.308499,4
66.104019,17.312572,0
56.718563,16.723978,39
56.727543,16.724389,23
56.736523,16.724800,27
56.745503,16.725212,26
56.754483,16.725624,4
56.799382,16.727686,5
56.808362,16.728099,71
56.817342,16.728513,6
56.826322,16.728926,0
56.835301,16.729340,7
56.844281,16.729755,60
56.853261,16.730169,58
56.862241,16.730584,91
56.871220,16.730999,173
56.880200,16.731414,19
56.889180,16.731829,33
56.898159,16.732245,7
56.907139,16.732661,25
56.925098,16.733493,0
57.697292,16.770229,7
57.796054,16.775064,7
57.876857,16.779043,4
57.885835,16.779487,3
57.894813,16.779930,7
57.912769,16.780819,3
57.957659,16.783044,0
57.966637,16.783490,6
57.975615,16.783936,0
58.002549,16.785276,0
58.092327,16.789760,3
58.101305,16.790210,0
58.119260,16.791110,3
58.128238,16.791561,0
58.146194,16.792463,4
58.155171,16.792915,3
58.164149,16.793367,5
58.173126,16.793819,37
58.182104,16.794271,28
58.191082,16.794723,0
58.200059,16.795176,4
58.209037,16.795629,4
58.289834,16.799720,8
58.298812,16.800176,0
58.334721,16.802002,0
58.343699,16.802459,12
58.352676,16.802917,19
58.370631,16.803833,7
58.379608,16.804291,0
58.388585,16.804750,0
58.433471,16.807047,10
58.442449,16.807508,8
58.451426,16.807968,7
58.469380,16.808890,0
58.487334,16.809813,11
58.496311,16.810275,25
58.505289,16.810737,4
58.514266,16.811200,4
58.523243,16.811663,6
58.532220,16.812126,8
58.541197,16.812589,0
58.613013,16.816307,38
58.621989,16.816773,55
58.630966,16.817239,8
58.639943,16.817705,4
58.648920,16.818172,5
58.657897,16.818639,6
58.675851,16.819574,0
58.684827,16.820042,3
58.693804,16.820510,6
58.702781,16.820979,5
58.711758,16.821447,0
58.720735,16.821916,3
58.729711,16.822386,12
58.738688,16.822855,6
58.765618,16.824266,4
58.774595,16.824737,6
58.783571,16.825208,8
58.792548,16.825679,0
58.801525,16.826151,0
58.810501,16.826623,4
58.819478,16.827095,7
58.828454,16.827568,4
58.837431,16.828040,4
58.846408,16.828513,5
58.855384,16.828987,0
58.873337,16.829935,3
58.900267,16.831358,0
58.909243,16.831833,3
58.918219,16.832309,3
58.945149,16.833737,3
58.954125,16.834213,3
58.972078,16.835167,3
58.981054,16.835645,7
58.990030,16.836123,6
59.007983,16.837079,6
59.034912,16.838516,18
59.043888,16.838995,5
59.052864,16.839475,16
59.061840,16.839955,59
59.070817,16.840436,3
59.079793,16.840916,7
59.088769,16.841397,0
59.097745,16.841879,3
59.124673,16.843324,3
59.133650,16.843807,9
59.142626,16.844289,18
59.160578,16.845256,3
59.277265,16.851567,10
59.286241,16.852055,4
59.295217,16.852543,7
59.304192,16.853031,22
59.322144,16.854008,19
59.331120,16.854497,18
59.340096,16.854987,62
59.349071,16.855476,4
59.358047,16.855966,4
59.393950,16.857929,5
59.402926,16.858421,7
59.411901,16.858913,21
59.420877,16.859405,6
59.429852,16.859897,37
59.438828,16.860390,9
59.447804,16.860883,3
59.456779,16.861376,4
59.465755,16.861870,8
59.474730,16.862364,3
59.510632,16.864343,3
59.519608,16.864839,11
59.546534,16.866327,3
59.555510,16.866824,33
59.564485,16.867321,8
59.573460,16.867818,3
59.582436,16.868316,3
59.591411,16.868814,0
59.600386,16.869312,20
59.609362,16.869811,31
59.618337,16.870310,47
59.627312,16.870809,0
59.636288,16.871309,10
59.654238,16.872309,14
59.663213,16.872809,18
59.672189,16.873310,3
59.681164,16.873811,14
59.699114,16.874814,4
59.735015,16.876825,17
59.761940,16.878336,12
59.770915,16.878840,5
59.806815,16.880860,9
59.833740,16.882379,4
59.842715,16.882886,0
59.887590,16.885425,6
59.896565,16.885933,9
59.905539,16.886442,34
59.914514,16.886952,25
59.941439,16.888482,23
59.950413,16.888992,17
59.959388,16.889503,15
59.968363,16.890015,13
59.995287,16.891551,3
60.004262,16.892063,0
60.013237,16.892576,4
60.022211,16.893090,13
60.058110,16.895146,9
60.076059,16.896176,8
60.085033,16.896691,5
60.111957,16.898240,3
60.129906,16.899274,20
60.138881,16.899792,30
60.147855,16.900309,14
60.156829,16.900828,0
60.165804,16.901346,0
60.174778,16.901865,0
60.201701,16.903423,0
60.273496,16.907594,0
60.372212,16.913363,5
60.605534,16.927162,3
60.659376,16.930379,0
60.838845,16.941193,0
60.847819,16.941738,0
61.188795,16.962689,0
61.260577,16.967167,3
61.269549,16.967728,387
61.278522,16.968290,111
61.287495,16.968852,0
61.296467,16.969414,0
61.341330,16.972232,8
61.350303,16.972797,43
61.359275,16.973362,29
61.475917,16.980741,3
61.529750,16.984169,10
61.538723,16.984741,22
61.547695,16.985314,35
61.556667,16.985887,6
61.565639,16.986461,3
61.583583,16.987610,0
61.592556,16.988184,27
61.610500,16.989335,16
61.655360,16.992219,38
61.682276,16.993954,5
61.691248,16.994533,3
61.718164,16.996272,26
61.745080,16.998015,3
61.754052,16.998597,57
61.763024,16.999179,111
61.798911,17.001511,3
61.852741,17.005022,0
61.870685,17.006195,3
61.879656,17.006782,7
61.888628,17.007370,3
61.897600,17.007958,7
61.906571,17.008546,3
61.915543,17.009135,7
61.924515,17.009724,3
61.969372,17.012676,12
61.978344,17.013267,19
61.987315,17.013859,3
61.996287,17.014452,41
62.005258,17.015044,18
62.014230,17.015638,18
62.023201,17.016231,4
62.050116,17.018014,10
62.059087,17.018609,5
62.094972,17.020994,0
62.103944,17.021591,6
62.274396,17.033014,12
62.283367,17.033619,4
62.301309,17.034831,17
62.310280,17.035437,57
62.319251,17.036044,51
62.328222,17.036651,368
62.337193,17.037259,537
62.346164,17.037867,541
62.355135,17.038476,209
62.408960,17.042136,6
62.417931,17.042747,3
62.426901,17.043359,0
62.489696,17.047654,4
62.507638,17.048885,28
62.552491,17.051969,0
62.561461,17.052587,3
62.588373,17.054444,44
62.992032,17.082764,0
63.001002,17.083404,0
63.162457,17.094988,30
63.171426,17.095636,41
63.189365,17.096933,27
63.198335,17.097583,0
63.314938,17.106064,9
63.521229,17.121261,8
63.799261,17.142137,12
64.166959,17.170467,0
64.615337,17.206170,0
64.749844,17.217138,0
64.920214,17.231205,6
65.045746,17.241699,16
65.144376,17.250020,3
65.198174,17.254588,5
65.673363,17.295847,17
66.058862,17.330567,4
56.745276,16.741556,3
56.754256,16.741972,16
56.763235,16.742388,25
56.772215,16.742804,54
56.781195,16.743220,60
56.790175,16.743637,27
56.799154,16.744054,39
56.808134,16.744471,25
56.817114,16.744888,3
56.826094,16.745306,9
56.853033,16.746560,3
56.870992,16.747398,15
56.879972,16.747817,15
56.888951,16.748236,28
56.897931,16.748656,7
56.906910,16.749075,27
56.915890,16.749495,10
57.957421,16.799935,4
57.975377,16.800836,6
58.002311,16.802188,4
58.047199,16.804448,0
58.092088,16.806715,4
58.119021,16.808078,3
58.145954,16.809444,0
58.163909,16.810356,4
58.172886,16.810812,65
58.181864,16.811268,31
58.190841,16.811725,0
58.199819,16.812182,9
58.208796,16.812640,0
58.298571,16.817229,15
58.325502,16.818612,19
58.334480,16.819073,21
58.343457,16.819534,11
58.352434,16.819996,29
58.361412,16.820458,8
58.379366,16.821384,3
58.397320,16.822310,4
58.406297,16.822773,3
58.415275,16.823237,3
58.442206,16.824630,12
58.460160,16.825560,3
58.478114,16.826492,7
58.487091,16.826958,3
58.505045,16.827891,6
58.514022,16.828358,36
58.531976,16.829292,13
58.612768,16.833513,46
58.621745,16.833983,21
58.648676,16.835396,7
58.657652,16.835867,8
58.684583,16.837283,4
58.693559,16.837756,7
58.702536,16.838229,8
58.711513,16.838702,0
58.720489,16.839176,24
58.729466,16.839649,49
58.738443,16.840123,97
58.765372,16.841547,12
58.774349,16.842023,0
58.792302,16.842974,0
58.801279,16.843450,8
58.810255,16.843927,3
58.819232,16.844403,3
58.855138,16.846313,5
58.864114,16.846791,17
58.873090,16.847269,15
58.900020,16.848707,5
58.917972,16.849666,7
58.926949,16.850146,3
58.944901,16.851108,12
58.953878,16.851589,8
58.998759,16.853999,3
59.007735,16.854481,6
59.025687,16.855448,18
59.052616,16.856900,3
59.070568,16.857870,16
59.079544,16.858355,3
59.133400,16.861273,13
59.142376,16.861760,16
59.160328,16.862736,3
59.205208,16.865180,3
59.232135,16.866650,11
59.250087,16.867632,14
59.268039,16.868615,3
59.277014,16.869107,0
59.285990,16.869599,0
59.294966,16.870091,16
59.303942,16.870584,16
